branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate,outstanding,weekly_disbursement,weekly_new_borrower_per_bp
POINTID_42,2018-03-31,AREAID_27,REGION_JR1,2017-09-09,948,5,0%,2000,180,6
POINTID_16,2018-03-31,AREAID_8,REGIONID_JT,2017-03-25,2744,10,0%,7000,300,4
POINTID_52,2018-03-31,AREAID_29,REGION_JH,2017-09-09,1234,7,0%,2600,270,16
POINTID_20,2018-03-31,AREAID_7,REGIONID_N,2017-04-22,1550,8,0%,3300,140,9
POINTID_48,2018-03-31,AREAID_21,REGION_JR1,2017-09-09,1074,6,0%,2650,310,21
POINTID_51,2018-03-31,AREAID_29,REGION_JH,2017-09-09,1034,7,0%,2250,140,12
POINTID_55,2018-03-31,AREAID_24,REGIONID_JT,2017-11-04,799,4,0%,1900,125,15
POINTID_22,2018-03-31,AREAID_7,REGIONID_N,2017-04-29,1005,5,0%-1%,2050,125,2
POINTID_44,2018-03-31,AREAID_29,REGION_JH,2017-09-09,1143,7,0%,2250,55,7
POINTID_57,2018-03-31,AREAID_24,REGIONID_JT,2017-11-11,692,5,0%,1700,55,6
POINTID_56,2018-03-31,AREAID_24,REGIONID_JT,2017-11-11,730,4,0%,1750,125,21
POINTID_31,2018-03-31,AREAID_14,REGION_JR2,2017-07-29,1465,7,0%,3550,110,8
POINTID_45,2018-03-31,AREAID_21,REGION_JR1,2017-09-16,1457,9,0%,3500,100,5
POINTID_14,2018-03-31,AREAID_8,REGIONID_JT,2016-10-15,1298,6,0%-1%,3850,230,2
POINTID_34,2018-03-31,AREAID_27,REGION_JR1,2017-07-15,1215,4,0%,2800,155,10
POINTID_10,2018-03-31,AREAID_8,REGIONID_JT,2016-09-10,1172,8,0%-1%,2750,70,2
POINTID_29,2018-03-31,AREAID_14,REGION_JR2,2017-07-29,1638,9,0%,3800,265,11
POINTID_25,2018-03-31,AREAID_20,REGION_JH,2017-06-10,773,7,0%,1550,85,8
POINTID_37,2018-03-31,AREAID_1,REGION_JH,2017-08-05,1258,6,0%-1%,2700,140,8
POINTID_47,2018-03-31,AREAID_21,REGION_JR1,2017-09-16,1360,7,0%,3050,170,15
POINTID_36,2018-03-31,AREAID_1,REGION_JH,2017-08-12,980,5,1%-2.5%,2000,105,10
POINTID_17,2018-03-31,AREAID_8,REGIONID_JT,2017-03-25,2926,12,0%,6050,220,5
POINTID_30,2018-03-31,AREAID_14,REGION_JR2,2017-07-29,1709,7,0%,3950,265,16
POINTID_12,2018-03-31,AREAID_30,REGIONID_JT,2016-10-08,1319,7,0%-1%,2800,195,12
POINTID_33,2018-03-24,AREAID_27,REGION_JR1,2017-07-22,838,4,0%,2150,105,10
POINTID_52,2018-03-24,AREAID_29,REGION_JH,2017-09-09,1158,9,0%,2400,180,17
POINTID_56,2018-03-24,AREAID_24,REGIONID_JT,2017-11-11,688,3,0%,1650,65,12
POINTID_57,2018-03-24,AREAID_24,REGIONID_JT,2017-11-11,674,5,0%,1650,185,21
POINTID_14,2018-03-24,AREAID_8,REGIONID_JT,2016-10-15,1289,6,0%-1%,3750,400,10
POINTID_20,2018-03-24,AREAID_7,REGIONID_N,2017-04-22,1500,9,0%,3250,140,5
POINTID_50,2018-03-24,AREAID_29,REGION_JH,2017-09-09,817,7,0%,1900,140,6
POINTID_36,2018-03-24,AREAID_1,REGION_JH,2017-08-12,952,4,0%-1%,1950,35,6
POINTID_55,2018-03-24,AREAID_24,REGIONID_JT,2017-11-04,758,4,0%,1850,215,25
POINTID_58,2018-03-24,AREAID_7,REGIONID_N,2018-01-13,329,2,0%,900,45,8
POINTID_25,2018-03-24,AREAID_20,REGION_JH,2017-06-10,741,6,0%,1500,60,8
POINTID_17,2018-03-24,AREAID_8,REGIONID_JT,2017-03-25,2914,12,0%,6050,195,4
POINTID_30,2018-03-24,AREAID_14,REGION_JR2,2017-07-29,1630,8,0%,3800,390,21
POINTID_31,2018-03-24,AREAID_14,REGION_JR2,2017-07-29,1436,7,0%,3550,195,16
POINTID_41,2018-03-24,AREAID_27,REGION_JR1,2017-08-19,834,4,0%,2150,180,7
POINTID_12,2018-03-24,AREAID_30,REGIONID_JT,2016-10-08,1276,7,0%-1%,2700,70,5
POINTID_45,2018-03-24,AREAID_21,REGION_JR1,2017-09-16,1432,10,0%,3500,255,12
POINTID_24,2018-03-24,AREAID_20,REGION_JH,2017-06-10,738,4,0%,1350,15,3
POINTID_35,2018-03-24,AREAID_1,REGION_JH,2017-07-29,1263,5,0%-1%,2650,205,13
POINTID_51,2018-03-24,AREAID_29,REGION_JH,2017-09-09,986,7,0%,2150,115,8
POINTID_22,2018-03-24,AREAID_7,REGIONID_N,2017-04-29,1003,5,0%-1%,2050,65,3
POINTID_15,2018-03-24,AREAID_8,REGIONID_JT,2016-11-12,1606,10,0%-1%,4350,445,13
POINTID_39,2018-03-24,AREAID_14,REGION_JR2,2017-08-19,1549,6,0%,3650,225,12
POINTID_23,2018-03-24,AREAID_7,REGIONID_N,2017-05-06,1206,7,0%-1%,2700,115,2
POINTID_47,2018-03-24,AREAID_21,REGION_JR1,2017-09-16,1302,7,0%,2950,80,7
POINTID_44,2018-03-24,AREAID_29,REGION_JH,2017-09-09,1122,8,0%,2250,80,12
POINTID_46,2018-03-24,AREAID_21,REGION_JR1,2017-09-16,1110,7,0%,2650,280,12
POINTID_42,2018-03-24,AREAID_27,REGION_JR1,2017-09-09,930,5,0%,1900,185,9
POINTID_9,2018-03-24,AREAID_31,REGIONID_JT,2016-09-17,1723,8,0%-1%,3200,60,4
POINTID_16,2018-03-24,AREAID_8,REGIONID_JT,2017-03-25,2733,11,0%,6950,300,1
POINTID_38,2018-03-24,AREAID_1,REGION_JH,2017-08-12,1212,6,0%,2600,120,10
POINTID_54,2018-03-24,AREAID_24,REGIONID_JT,2017-11-11,885,6,0%,2200,155,13
POINTID_8,2018-03-24,AREAID_30,REGIONID_JT,2016-09-03,1508,7,0%,2950,110,9
POINTID_43,2018-03-24,AREAID_29,REGION_JH,2017-09-09,1140,5,0%,2600,235,21
POINTID_32,2018-03-24,AREAID_27,REGION_JR1,2017-07-22,1095,6,0%,3050,135,7
POINTID_49,2018-03-24,AREAID_21,REGION_JR1,2017-09-16,1066,7,0%,2500,110,7
POINTID_53,2018-03-24,AREAID_24,REGIONID_JT,2017-11-11,807,4,0%,2000,155,18
POINTID_48,2018-03-24,AREAID_21,REGION_JR1,2017-09-09,976,7,0%,2450,260,17
POINTID_19,2018-03-24,AREAID_7,REGIONID_N,2017-04-15,1427,6,0%,3250,165,12
POINTID_40,2018-03-24,AREAID_14,REGION_JR2,2017-08-26,1269,8,0%,3000,270,20
POINTID_10,2018-03-24,AREAID_8,REGIONID_JT,2016-09-10,1169,8,0%-1%,2800,190,5
POINTID_29,2018-03-24,AREAID_14,REGION_JR2,2017-07-29,1585,9,0%,3650,420,17
POINTID_37,2018-03-24,AREAID_1,REGION_JH,2017-08-05,1229,7,0%,2650,195,8
POINTID_28,2018-03-24,AREAID_20,REGION_JH,2017-06-03,764,6,0%,1450,125,15
POINTID_34,2018-03-24,AREAID_27,REGION_JR1,2017-07-15,1178,4,0%,2750,195,7
POINTID_35,2018-03-17,AREAID_1,REGION_JH,2017-07-29,1225,4,0%-1%,2550,170,1
POINTID_22,2018-03-17,AREAID_7,REGIONID_N,2017-04-29,997,5,0%-1%,2050,30,4
POINTID_33,2018-03-17,AREAID_27,REGION_JR1,2017-07-22,810,4,0%,2100,120,8
POINTID_28,2018-03-17,AREAID_20,REGION_JH,2017-06-03,720,6,0%,1400,155,18
POINTID_44,2018-03-17,AREAID_29,REGION_JH,2017-09-09,1087,6,0%,2250,40,6
POINTID_16,2018-03-17,AREAID_8,REGIONID_JT,2017-03-25,2732,9,0%,6900,185,1
POINTID_29,2018-03-17,AREAID_14,REGION_JR2,2017-07-29,1501,7,0%,3400,255,16
POINTID_38,2018-03-17,AREAID_1,REGION_JH,2017-08-12,1172,6,0%,2550,245,17
POINTID_25,2018-03-17,AREAID_20,REGION_JH,2017-06-10,719,6,0%,1500,140,17
POINTID_40,2018-03-17,AREAID_14,REGION_JR2,2017-08-26,1190,8,0%,2800,210,20
POINTID_57,2018-03-17,AREAID_24,REGIONID_JT,2017-11-11,613,4,0%,1500,55,11
POINTID_52,2018-03-17,AREAID_29,REGION_JH,2017-09-09,1091,7,0%,2300,110,10
POINTID_34,2018-03-17,AREAID_27,REGION_JR1,2017-07-15,1151,4,0%,2650,205,14
POINTID_17,2018-03-17,AREAID_8,REGIONID_JT,2017-03-25,2912,12,0%,6050,200,5
POINTID_43,2018-03-17,AREAID_29,REGION_JH,2017-09-09,1059,5,0%,2450,170,15
POINTID_23,2018-03-17,AREAID_7,REGIONID_N,2017-05-06,1199,4,0%-1%,2700,15,0
POINTID_46,2018-03-17,AREAID_21,REGION_JR1,2017-09-16,1055,7,0%,2500,200,17
POINTID_47,2018-03-17,AREAID_21,REGION_JR1,2017-09-16,1275,6,0%,2950,210,18
POINTID_19,2018-03-17,AREAID_7,REGIONID_N,2017-04-15,1391,6,0%,3200,80,10
POINTID_37,2018-03-17,AREAID_1,REGION_JH,2017-08-05,1189,7,0%,2550,100,6
POINTID_9,2018-03-17,AREAID_31,REGIONID_JT,2016-09-17,1718,9,0%-1%,3250,50,4
POINTID_50,2018-03-17,AREAID_29,REGION_JH,2017-09-09,794,5,0%,1800,80,9
POINTID_39,2018-03-17,AREAID_14,REGION_JR2,2017-08-19,1491,7,0%,3550,185,8
POINTID_42,2018-03-17,AREAID_27,REGION_JR1,2017-09-09,905,5,0%,1800,50,6
POINTID_56,2018-03-17,AREAID_24,REGIONID_JT,2017-11-11,665,3,0%,1650,105,18
POINTID_31,2018-03-17,AREAID_14,REGION_JR2,2017-07-29,1375,7,0%,3450,255,15
POINTID_30,2018-03-17,AREAID_14,REGION_JR2,2017-07-29,1505,7,0%,3550,95,11
POINTID_45,2018-03-17,AREAID_21,REGION_JR1,2017-09-16,1373,10,0%,3350,335,20
POINTID_12,2018-03-17,AREAID_30,REGIONID_JT,2016-10-08,1265,7,0%,2750,105,1
POINTID_41,2018-03-17,AREAID_27,REGION_JR1,2017-08-19,808,4,0%,2050,85,10
POINTID_53,2018-03-17,AREAID_24,REGIONID_JT,2017-11-11,755,4,0%,1900,200,23
POINTID_58,2018-03-17,AREAID_7,REGIONID_N,2018-01-13,314,3,0%,850,210,36
POINTID_10,2018-03-17,AREAID_8,REGIONID_JT,2016-09-10,1147,8,0%-1%,2700,60,5
POINTID_54,2018-03-17,AREAID_24,REGIONID_JT,2017-11-11,835,5,0%,2100,205,23
POINTID_15,2018-03-17,AREAID_8,REGIONID_JT,2016-11-12,1538,8,0%-1%,4100,170,7
POINTID_24,2018-03-17,AREAID_20,REGION_JH,2017-06-10,732,4,0%,1400,15,7
POINTID_20,2018-03-17,AREAID_7,REGIONID_N,2017-04-22,1480,8,0%,3250,150,6
POINTID_51,2018-03-17,AREAID_29,REGION_JH,2017-09-09,946,6,0%,2100,105,9
POINTID_14,2018-03-17,AREAID_8,REGIONID_JT,2016-10-15,1250,7,0%-1%,3550,195,2
POINTID_49,2018-03-17,AREAID_21,REGION_JR1,2017-09-16,1032,7,0%,2450,155,13
POINTID_36,2018-03-17,AREAID_1,REGION_JH,2017-08-12,941,3,0%-1%,1950,50,8
POINTID_32,2018-03-17,AREAID_27,REGION_JR1,2017-07-22,1069,6,0%,3000,285,11
POINTID_55,2018-03-17,AREAID_24,REGIONID_JT,2017-11-04,685,4,0%,1650,90,10
POINTID_48,2018-03-17,AREAID_21,REGION_JR1,2017-09-09,893,5,0%,2250,45,5
POINTID_8,2018-03-17,AREAID_30,REGIONID_JT,2016-09-03,1469,9,0%,2900,155,5
POINTID_22,2018-03-10,AREAID_7,REGIONID_N,2017-04-29,989,4,0%,2100,45,6
POINTID_35,2018-03-10,AREAID_1,REGION_JH,2017-07-29,1223,6,0%-1%,2500,45,6
POINTID_23,2018-03-10,AREAID_7,REGIONID_N,2017-05-06,1199,5,0%-1%,2800,180,4
POINTID_39,2018-03-10,AREAID_14,REGION_JR2,2017-08-19,1451,7,0%,3500,205,11
POINTID_28,2018-03-10,AREAID_20,REGION_JH,2017-06-03,668,3,0%,1250,25,5
POINTID_19,2018-03-10,AREAID_7,REGIONID_N,2017-04-15,1363,7,0%,3200,145,9
POINTID_10,2018-03-10,AREAID_8,REGIONID_JT,2016-09-10,1139,8,0%-1%,2750,180,4
POINTID_52,2018-03-10,AREAID_29,REGION_JH,2017-09-09,1051,7,0%,2250,65,6
POINTID_37,2018-03-10,AREAID_1,REGION_JH,2017-08-05,1175,8,0%,2550,125,8
POINTID_25,2018-03-10,AREAID_20,REGION_JH,2017-06-10,671,5,0%,1400,25,9
POINTID_54,2018-03-10,AREAID_24,REGIONID_JT,2017-11-11,767,5,0%,1950,185,20
POINTID_41,2018-03-10,AREAID_27,REGION_JR1,2017-08-19,781,4,0%,2000,155,9
POINTID_45,2018-03-10,AREAID_21,REGION_JR1,2017-09-16,1295,9,0%,3100,200,12
POINTID_43,2018-03-10,AREAID_29,REGION_JH,2017-09-09,1000,6,0%-1%,2300,80,9
POINTID_15,2018-03-10,AREAID_8,REGIONID_JT,2016-11-12,1508,9,0%-1%,4050,155,5
POINTID_42,2018-03-10,AREAID_27,REGION_JR1,2017-09-09,887,4,0%,1800,115,14
POINTID_29,2018-03-10,AREAID_14,REGION_JR2,2017-07-29,1442,8,0%,3250,65,4
POINTID_57,2018-03-10,AREAID_24,REGIONID_JT,2017-11-11,592,4,0%,1500,60,8
POINTID_50,2018-03-10,AREAID_29,REGION_JH,2017-09-09,767,8,0%,1800,40,7
POINTID_48,2018-03-10,AREAID_21,REGION_JR1,2017-09-09,885,6,0%,2250,85,6
POINTID_34,2018-03-10,AREAID_27,REGION_JR1,2017-07-15,1098,4,0%,2550,185,9
POINTID_58,2018-03-10,AREAID_7,REGIONID_N,2018-01-13,243,3,0%,650,170,29
POINTID_53,2018-03-10,AREAID_24,REGIONID_JT,2017-11-11,687,3,0%,1700,230,39
POINTID_47,2018-03-10,AREAID_21,REGION_JR1,2017-09-16,1204,5,0%,2800,180,21
POINTID_9,2018-03-10,AREAID_31,REGIONID_JT,2016-09-17,1711,9,0%-1%,3300,135,14
POINTID_56,2018-03-10,AREAID_24,REGIONID_JT,2017-11-11,630,3,0%,1550,80,14
POINTID_14,2018-03-10,AREAID_8,REGIONID_JT,2016-10-15,1256,6,0%-1%,3500,125,9
POINTID_51,2018-03-10,AREAID_29,REGION_JH,2017-09-09,910,6,0%,2050,75,7
POINTID_32,2018-03-10,AREAID_27,REGION_JR1,2017-07-22,1026,6,0%,2850,140,3
POINTID_49,2018-03-10,AREAID_21,REGION_JR1,2017-09-16,983,8,0%,2400,205,17
POINTID_36,2018-03-10,AREAID_1,REGION_JH,2017-08-12,926,4,0%-1%,1950,35,1
POINTID_55,2018-03-10,AREAID_24,REGIONID_JT,2017-11-04,655,3,0%,1600,60,10
POINTID_16,2018-03-10,AREAID_8,REGIONID_JT,2017-03-25,2731,11,0%,7000,230,4
POINTID_38,2018-03-10,AREAID_1,REGION_JH,2017-08-12,1104,5,0%,2400,40,5
POINTID_40,2018-03-10,AREAID_14,REGION_JR2,2017-08-26,1130,6,0%,2700,65,7
POINTID_46,2018-03-10,AREAID_21,REGION_JR1,2017-09-16,988,7,0%,2350,90,4
POINTID_24,2018-03-10,AREAID_20,REGION_JH,2017-06-10,725,4,0%,1400,115,5
POINTID_33,2018-03-10,AREAID_27,REGION_JR1,2017-07-22,788,4,0%,2050,130,6
POINTID_44,2018-03-10,AREAID_29,REGION_JH,2017-09-09,1071,7,0%,2250,40,5
POINTID_20,2018-03-10,AREAID_7,REGIONID_N,2017-04-22,1454,10,0%,3200,160,6
POINTID_8,2018-03-10,AREAID_30,REGIONID_JT,2016-09-03,1479,8,0%,2900,105,10
POINTID_12,2018-03-10,AREAID_30,REGIONID_JT,2016-10-08,1259,8,0%,2750,80,4
POINTID_17,2018-03-10,AREAID_8,REGIONID_JT,2017-03-25,2890,12,0%,6050,240,9
POINTID_30,2018-03-10,AREAID_14,REGION_JR2,2017-07-29,1475,8,0%,3550,215,4
POINTID_31,2018-03-10,AREAID_14,REGION_JR2,2017-07-29,1318,7,0%,3300,280,16
POINTID_15,2018-03-03,AREAID_8,REGIONID_JT,2016-11-12,1511,9,0%-1%,4000,240,6
POINTID_44,2018-03-03,AREAID_29,REGION_JH,2017-09-09,1054,8,0%,2300,115,9
POINTID_23,2018-03-03,AREAID_7,REGIONID_N,2017-05-06,1197,6,0%-1%,2750,95,7
POINTID_24,2018-03-03,AREAID_20,REGION_JH,2017-06-10,712,4,0%,1350,110,12
POINTID_19,2018-03-03,AREAID_7,REGIONID_N,2017-04-15,1324,7,0%,3150,100,6
POINTID_10,2018-03-03,AREAID_8,REGIONID_JT,2016-09-10,1132,8,0%-1%,2700,105,15
POINTID_29,2018-03-03,AREAID_14,REGION_JR2,2017-07-29,1433,9,0%,3300,260,17
POINTID_34,2018-03-03,AREAID_27,REGION_JR1,2017-07-15,1065,4,0%,2450,120,9
POINTID_58,2018-03-03,AREAID_7,REGIONID_N,2018-01-13,186,3,0%,500,160,27
POINTID_8,2018-03-03,AREAID_30,REGIONID_JT,2016-09-03,1478,8,0%,2850,30,1
POINTID_31,2018-03-03,AREAID_14,REGION_JR2,2017-07-29,1256,7,0%,3100,145,8
POINTID_12,2018-03-03,AREAID_30,REGIONID_JT,2016-10-08,1263,8,0%,2750,35,1
POINTID_45,2018-03-03,AREAID_21,REGION_JR1,2017-09-16,1235,10,0%,3000,160,10
POINTID_30,2018-03-03,AREAID_14,REGION_JR2,2017-07-29,1455,8,0%,3400,365,31
POINTID_28,2018-03-03,AREAID_20,REGION_JH,2017-06-03,660,7,0%,1300,85,12
POINTID_47,2018-03-03,AREAID_21,REGION_JR1,2017-09-16,1144,7,0%,2700,140,12
POINTID_16,2018-03-03,AREAID_8,REGIONID_JT,2017-03-25,2705,10,0%,7000,210,5
POINTID_25,2018-03-03,AREAID_20,REGION_JH,2017-06-10,662,7,0%,1400,50,6
POINTID_52,2018-03-03,AREAID_29,REGION_JH,2017-09-09,1028,6,0%,2250,165,15
POINTID_40,2018-03-03,AREAID_14,REGION_JR2,2017-08-26,1111,7,0%,2700,290,29
POINTID_32,2018-03-03,AREAID_27,REGION_JR1,2017-07-22,1013,5,0%,2800,185,2
POINTID_49,2018-03-03,AREAID_21,REGION_JR1,2017-09-16,918,6,0%,2250,80,10
POINTID_33,2018-03-03,AREAID_27,REGION_JR1,2017-07-22,772,4,0%,2000,80,8
POINTID_42,2018-03-03,AREAID_27,REGION_JR1,2017-09-09,846,5,0%,1750,15,4
POINTID_46,2018-03-03,AREAID_21,REGION_JR1,2017-09-16,969,7,0%,2300,150,13
POINTID_38,2018-03-03,AREAID_1,REGION_JH,2017-08-12,1090,6,0%,2400,190,16
POINTID_54,2018-03-03,AREAID_24,REGIONID_JT,2017-11-11,707,4,0%,1800,150,16
POINTID_56,2018-03-03,AREAID_24,REGIONID_JT,2017-11-11,604,3,0%,1500,65,12
POINTID_57,2018-03-03,AREAID_24,REGIONID_JT,2017-11-11,570,4,0%,1450,115,14
POINTID_51,2018-03-03,AREAID_29,REGION_JH,2017-09-09,883,6,0%,2050,85,8
POINTID_20,2018-03-03,AREAID_7,REGIONID_N,2017-04-22,1426,7,0%,3150,85,3
POINTID_50,2018-03-03,AREAID_29,REGION_JH,2017-09-09,753,9,0%,1800,110,19
POINTID_55,2018-03-03,AREAID_24,REGIONID_JT,2017-11-04,635,3,0%,1600,90,16
POINTID_43,2018-03-03,AREAID_29,REGION_JH,2017-09-09,973,5,0%-1%,2300,90,10
POINTID_41,2018-03-03,AREAID_27,REGION_JR1,2017-08-19,748,4,0%,1900,170,8
POINTID_36,2018-03-03,AREAID_1,REGION_JH,2017-08-12,925,5,0%-1%,2000,70,11
POINTID_37,2018-03-03,AREAID_1,REGION_JH,2017-08-05,1143,8,0%,2500,165,12
POINTID_9,2018-03-03,AREAID_31,REGIONID_JT,2016-09-17,1677,8,0%-1%,3300,155,6
POINTID_39,2018-03-03,AREAID_14,REGION_JR2,2017-08-19,1398,7,0%,3400,285,16
POINTID_35,2018-03-03,AREAID_1,REGION_JH,2017-07-29,1205,6,0%-1%,2500,100,14
POINTID_22,2018-03-03,AREAID_7,REGIONID_N,2017-04-29,975,5,0%,2100,120,8
POINTID_14,2018-03-03,AREAID_8,REGIONID_JT,2016-10-15,1235,7,0%-1%,3500,265,7
POINTID_48,2018-03-03,AREAID_21,REGION_JR1,2017-09-09,867,6,0%,2200,185,16
POINTID_53,2018-03-03,AREAID_24,REGIONID_JT,2017-11-11,611,2,0%,1550,130,22
POINTID_17,2018-03-03,AREAID_8,REGIONID_JT,2017-03-25,2854,12,0%,6050,115,3
POINTID_39,2018-02-24,AREAID_14,REGION_JR2,2017-08-19,1321,6,0%,3200,190,14
POINTID_42,2018-02-24,AREAID_27,REGION_JR1,2017-09-09,841,5,0%,1800,170,21
POINTID_29,2018-02-24,AREAID_14,REGION_JR2,2017-07-29,1365,8,0%,3150,260,22
POINTID_10,2018-02-24,AREAID_8,REGIONID_JT,2016-09-10,1108,8,0%-1%,2650,100,9
POINTID_9,2018-02-24,AREAID_31,REGIONID_JT,2016-09-17,1655,9,0%-1%,3250,105,5
POINTID_56,2018-02-24,AREAID_24,REGIONID_JT,2017-11-11,581,3,0%,1500,170,29
POINTID_20,2018-02-24,AREAID_7,REGIONID_N,2017-04-22,1412,8,0%,3200,180,7
POINTID_48,2018-02-24,AREAID_21,REGION_JR1,2017-09-09,822,6,0%,2100,125,12
POINTID_51,2018-02-24,AREAID_29,REGION_JH,2017-09-09,853,6,0%,2000,120,9
POINTID_32,2018-02-24,AREAID_27,REGION_JR1,2017-07-22,1010,6,0%,2750,165,9
POINTID_17,2018-02-24,AREAID_8,REGIONID_JT,2017-03-25,2846,11,0%,6100,145,7
POINTID_45,2018-02-24,AREAID_21,REGION_JR1,2017-09-16,1185,9,0%,2900,230,20
POINTID_8,2018-02-24,AREAID_30,REGIONID_JT,2016-09-03,1478,8,0%,2900,80,8
POINTID_12,2018-02-24,AREAID_30,REGIONID_JT,2016-10-08,1265,8,0%,2800,110,5
POINTID_15,2018-02-24,AREAID_8,REGIONID_JT,2016-11-12,1482,8,0%-1%,3900,120,4
POINTID_22,2018-02-24,AREAID_7,REGIONID_N,2017-04-29,948,4,0%,2050,75,7
POINTID_24,2018-02-24,AREAID_20,REGION_JH,2017-06-10,667,4,0%,1300,70,7
POINTID_28,2018-02-24,AREAID_20,REGION_JH,2017-06-03,626,6,0%,1200,250,24
POINTID_46,2018-02-24,AREAID_21,REGION_JR1,2017-09-16,917,7,0%,2200,260,30
POINTID_44,2018-02-24,AREAID_29,REGION_JH,2017-09-09,1012,10,0%,2250,145,12
POINTID_47,2018-02-24,AREAID_21,REGION_JR1,2017-09-16,1098,7,0%,2650,245,21
POINTID_40,2018-02-24,AREAID_14,REGION_JR2,2017-08-26,1026,6,0%,2450,275,28
POINTID_57,2018-02-24,AREAID_24,REGIONID_JT,2017-11-11,530,4,0%,1400,75,13
POINTID_36,2018-02-24,AREAID_1,REGION_JH,2017-08-12,903,5,0%-1%,1950,120,22
POINTID_14,2018-02-24,AREAID_8,REGIONID_JT,2016-10-15,1205,7,0%-1%,3400,250,5
POINTID_55,2018-02-24,AREAID_24,REGIONID_JT,2017-11-04,604,4,0%,1500,125,21
POINTID_58,2018-02-24,AREAID_7,REGIONID_N,2018-01-13,132,2,0%,350,115,39
POINTID_16,2018-02-24,AREAID_8,REGIONID_JT,2017-03-25,2677,11,0%,7000,145,6
POINTID_38,2018-02-24,AREAID_1,REGION_JH,2017-08-12,1027,5,0%,2300,140,12
POINTID_19,2018-02-24,AREAID_7,REGIONID_N,2017-04-15,1298,6,0%,3150,80,3
POINTID_25,2018-02-24,AREAID_20,REGION_JH,2017-06-10,644,6,0%,1400,200,13
POINTID_34,2018-02-24,AREAID_27,REGION_JR1,2017-07-15,1040,5,0%,2400,105,10
POINTID_53,2018-02-24,AREAID_24,REGIONID_JT,2017-11-11,567,2,0%,1450,165,28
POINTID_30,2018-02-24,AREAID_14,REGION_JR2,2017-07-29,1332,7,0%,3150,135,9
POINTID_31,2018-02-24,AREAID_14,REGION_JR2,2017-07-29,1216,6,0%,3050,190,12
POINTID_37,2018-02-24,AREAID_1,REGION_JH,2017-08-05,1096,8,0%,2400,105,8
POINTID_52,2018-02-24,AREAID_29,REGION_JH,2017-09-09,968,9,0%,2150,100,10
POINTID_54,2018-02-24,AREAID_24,REGIONID_JT,2017-11-11,660,4,0%,1700,85,14
POINTID_23,2018-02-24,AREAID_7,REGIONID_N,2017-05-06,1170,5,0%-1%,2750,150,11
POINTID_35,2018-02-24,AREAID_1,REGION_JH,2017-07-29,1167,5,0%-1%,2500,125,6
POINTID_33,2018-02-24,AREAID_27,REGION_JR1,2017-07-22,750,4,0%,1950,85,6
POINTID_50,2018-02-24,AREAID_29,REGION_JH,2017-09-09,717,8,0%,1700,165,11
POINTID_49,2018-02-24,AREAID_21,REGION_JR1,2017-09-16,891,7,0%,2200,180,20
POINTID_43,2018-02-24,AREAID_29,REGION_JH,2017-09-09,944,5,0%-1%,2250,155,18
POINTID_41,2018-02-24,AREAID_27,REGION_JR1,2017-08-19,718,4,0%,1800,135,12
POINTID_15,2018-02-17,AREAID_8,REGIONID_JT,2016-11-12,1459,8,0%-1%,3900,390,14
POINTID_39,2018-02-17,AREAID_14,REGION_JR2,2017-08-19,1266,7,0%,3100,200,13
POINTID_42,2018-02-17,AREAID_27,REGION_JR1,2017-09-09,782,4,0%,1650,75,10
POINTID_44,2018-02-17,AREAID_29,REGION_JH,2017-09-09,953,8,0%,2150,85,9
POINTID_47,2018-02-17,AREAID_21,REGION_JR1,2017-09-16,1017,6,0%,2450,225,19
POINTID_33,2018-02-17,AREAID_27,REGION_JR1,2017-07-22,728,4,0%,1900,145,10
POINTID_20,2018-02-17,AREAID_7,REGIONID_N,2017-04-22,1378,7,0%,3150,140,4
POINTID_29,2018-02-17,AREAID_14,REGION_JR2,2017-07-29,1280,8,0%,2950,160,12
POINTID_56,2018-02-17,AREAID_24,REGIONID_JT,2017-11-11,524,2,0%,1350,105,18
POINTID_57,2018-02-17,AREAID_24,REGIONID_JT,2017-11-11,505,4,0%,1350,125,21
POINTID_32,2018-02-17,AREAID_27,REGION_JR1,2017-07-22,977,5,0%,2650,385,20
POINTID_51,2018-02-17,AREAID_29,REGION_JH,2017-09-09,811,8,0%,1950,110,10
POINTID_34,2018-02-17,AREAID_27,REGION_JR1,2017-07-15,1004,4,0%,2350,285,21
POINTID_48,2018-02-17,AREAID_21,REGION_JR1,2017-09-09,788,5,0%,2000,145,11
POINTID_55,2018-02-17,AREAID_24,REGIONID_JT,2017-11-04,562,3,0%,1450,100,17
POINTID_30,2018-02-17,AREAID_14,REGION_JR2,2017-07-29,1291,8,0%,3100,205,17
POINTID_41,2018-02-17,AREAID_27,REGION_JR1,2017-08-19,682,4,0%,1700,85,8
POINTID_12,2018-02-17,AREAID_30,REGIONID_JT,2016-10-08,1261,8,0%,2800,90,7
POINTID_17,2018-02-17,AREAID_8,REGIONID_JT,2017-03-25,2808,11,0%,6150,210,8
POINTID_31,2018-02-17,AREAID_14,REGION_JR2,2017-07-29,1160,7,0%,2950,175,14
POINTID_8,2018-02-17,AREAID_30,REGIONID_JT,2016-09-03,1463,8,0%,2950,200,20
POINTID_22,2018-02-17,AREAID_7,REGIONID_N,2017-04-29,922,5,0%,2050,100,7
POINTID_10,2018-02-17,AREAID_8,REGIONID_JT,2016-09-10,1093,8,0%-1%,2650,75,5
