branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate,outstanding,weekly_disbursement,weekly_new_borrower_per_bp
POINTID_48,2018-10-13,AREAID_21,REGION_JR1,2017-09-09,1752,8,1%-2.5%,3550,115,4
POINTID_55,2018-10-13,AREAID_24,REGIONID_JT,2017-11-04,1340,5,0%,2100,85,3
POINTID_34,2018-10-13,AREAID_27,REGION_JR1,2017-07-15,1887,7,0%,4000,150,9
POINTID_50,2018-10-13,AREAID_29,REGION_JH,2017-09-09,1238,8,5%-10%,2500,135,8
POINTID_32,2018-10-13,AREAID_27,REGION_JR1,2017-07-22,1512,5,>10%,3300,0,
POINTID_77,2018-10-13,AREAID_6,REGIONID_JT,2018-07-14,401,2,0%,1100,100,17
POINTID_71,2018-10-13,AREAID_19,REGIONID_JT,2018-06-02,581,3,0%,1550,70,8
POINTID_78,2018-10-13,AREAID_28,REGION_JR1,2018-05-26,693,4,0%,1750,245,27
POINTID_99,2018-10-13,AREAID_17,REGION_JH,2018-08-18,145,2,0%,350,30,11
POINTID_70,2018-10-13,AREAID_9,REGIONID_N,2018-05-12,780,3,0%,2150,90,9
POINTID_40,2018-10-13,AREAID_14,REGION_JR2,2017-08-26,2067,6,0%,4300,160,5
POINTID_10,2018-10-13,AREAID_8,REGIONID_JT,2016-09-10,1180,7,>10%,2250,145,4
POINTID_9,2018-10-13,AREAID_31,REGIONID_JT,2016-09-17,1862,8,0%-1%,3550,295,7
POINTID_38,2018-10-13,AREAID_1,REGION_JH,2017-08-12,1506,6,2.5%-5%,2650,30,0
POINTID_54,2018-10-13,AREAID_24,REGIONID_JT,2017-11-11,1518,7,0%,2900,210,5
POINTID_16,2018-10-13,AREAID_8,REGIONID_JT,2017-03-25,2643,11,1%-2.5%,5950,210,0
POINTID_63,2018-10-13,AREAID_13,REGION_JR2,2018-05-05,575,3,0%,1350,60,10
POINTID_68,2018-10-13,AREAID_5,REGIONID_N,2018-06-30,514,2,0%,1500,115,17
POINTID_59,2018-10-13,AREAID_25,REGIONID_JT,2018-05-05,605,3,0%,1500,145,17
